,Day,Date,Holiday Name,Type,Comments
48,Thursday,Apr 01,Bank Holiday,Not A Public Holiday,Banks only. Annual accounts closing
49,Thursday,Apr 01,Odisha Day,Regional Holiday,Odisha
50,Friday,Apr 02,Good Friday,Regional Holiday,
51,Sunday,Apr 04,Easter Sunday,Regional Holiday,
52,Monday,Apr 05,Babu Jagjivan Ram Birthday,Regional Holiday,"Andhra Pradesh, Telangana only"
53,Monday,Apr 05,Babu Jagjivan Ram Birthday,Government Holiday,"Andhra Pradesh, Telangana only"
54,Thursday,Apr 08,Birthday of Sri Guru Nabha Dass Ji,Regional Holiday,Punjab
55,Tuesday,Apr 13,Cheti Chand,Regional Holiday,
56,Tuesday,Apr 13,Sajibu Nongma Panba,Regional Holiday,Manipur
57,Tuesday,Apr 13,1st Navratra,Regional Holiday,Jammu and Kashmir
58,Tuesday,Apr 13,Gudi Padwa,Regional Holiday,
59,Tuesday,Apr 13,Ugadi,Regional Holiday,Telugu and Kannada New Year
60,Tuesday,Apr 13,Vaisakhi,Regional Holiday,several states
61,Wednesday,Apr 14,Vishu,Regional Holiday,Kerala Only
62,Wednesday,Apr 14,Cheiraoba,Regional Holiday,Manipur
63,Wednesday,Apr 14,Tamil New Year,Regional Holiday,"Puthandu. Puducherry, Tamil Nadu"
